year,language,auth_group,count,year_str
2016,ruby,apiKey,90,2016
2019,go,basic,40,2019
2019,java,apiKey,184,2019
2019,java,oauth2,181,2019
2019,python,http_basic,20,2019
2019,python,http_bearer_jwt,24,2019
2020,go,apiKey,2,2020
2020,go,oauth2,2,2020
2020,java,apiKey,326,2020
2020,java,oauth2,325,2020
2021,java,apiKey,5,2021
2021,java,basic,1,2021
2021,java,oauth2,4,2021
2021,javascript,apiKey,6,2021
2021,javascript,oauth2,6,2021
2022,go,http_bearer_jwt,19,2022
2022,java,apiKey,14,2022
2022,java,oauth2,14,2022
2023,java,apiKey,6,2023
2023,java,oauth2,6,2023
2023,javascript,apiKey,42,2023
2023,javascript,oauth2,42,2023
2023,python,apiKey,234,2023
2023,python,http_requestbody,36,2023
2023,ruby,apiKey,244,2023
2024,go,apiKey,6,2024
2024,java,apiKey,30,2024
2024,java,oauth2,30,2024
2024,javascript,apiKey,8,2024
2024,javascript,oauth2,8,2024
2024,python,apiKey,572,2024
2024,python,http_requestbody,88,2024
2024,ruby,apiKey,612,2024
2025,go,apiKey,94,2025
2025,go,oauth2,50,2025
2025,java,apiKey,509,2025
2025,java,oauth2,559,2025
2025,javascript,apiKey,16,2025
2025,python,apiKey,390,2025
2025,python,http_requestbody,60,2025
2025,ruby,apiKey,660,2025
