commit_date,language,classification,dep_count
2019-01-07,javascript,Both,0
2019-01-07,javascript,Only SecSchemes,0
2019-01-07,javascript,Only SecDef,0
2019-01-07,javascript,Undef Sec (OAS),0
2019-01-07,go,Both,0
2019-01-07,go,Only SecSchemes,0
2019-01-07,go,Only SecDef,0
2019-01-07,go,Undef Sec (OAS),0
2019-01-07,python,Both,0
2019-01-07,python,Only SecSchemes,0
2019-01-07,python,Only SecDef,0
2019-01-07,python,Undef Sec (OAS),0
2019-01-07,java,Both,0
2019-01-07,java,Only SecSchemes,0
2019-01-07,java,Only SecDef,0
2019-01-07,java,Undef Sec (OAS),2
2019-01-07,ruby,Both,0
2019-01-07,ruby,Only SecSchemes,0
2019-01-07,ruby,Only SecDef,0
2019-01-07,ruby,Undef Sec (OAS),0
2019-03-18,javascript,Both,0
2019-03-18,javascript,Only SecSchemes,0
2019-03-18,javascript,Only SecDef,0
2019-03-18,javascript,Undef Sec (OAS),0
2019-03-18,go,Both,0
2019-03-18,go,Only SecSchemes,0
2019-03-18,go,Only SecDef,90
2019-03-18,go,Undef Sec (OAS),0
2019-03-18,python,Both,0
2019-03-18,python,Only SecSchemes,0
2019-03-18,python,Only SecDef,0
2019-03-18,python,Undef Sec (OAS),0
2019-03-18,java,Both,0
2019-03-18,java,Only SecSchemes,0
2019-03-18,java,Only SecDef,0
2019-03-18,java,Undef Sec (OAS),0
2019-03-18,ruby,Both,0
2019-03-18,ruby,Only SecSchemes,0
2019-03-18,ruby,Only SecDef,0
2019-03-18,ruby,Undef Sec (OAS),0
2019-03-19,javascript,Both,0
2019-03-19,javascript,Only SecSchemes,0
2019-03-19,javascript,Only SecDef,0
2019-03-19,javascript,Undef Sec (OAS),0
2019-03-19,go,Both,0
2019-03-19,go,Only SecSchemes,0
2019-03-19,go,Only SecDef,90
2019-03-19,go,Undef Sec (OAS),0
2019-03-19,python,Both,0
2019-03-19,python,Only SecSchemes,0
2019-03-19,python,Only SecDef,0
2019-03-19,python,Undef Sec (OAS),0
2019-03-19,java,Both,0
2019-03-19,java,Only SecSchemes,0
2019-03-19,java,Only SecDef,0
2019-03-19,java,Undef Sec (OAS),0
2019-03-19,ruby,Both,0
2019-03-19,ruby,Only SecSchemes,0
2019-03-19,ruby,Only SecDef,0
2019-03-19,ruby,Undef Sec (OAS),0
2019-03-22,javascript,Both,0
2019-03-22,javascript,Only SecSchemes,0
2019-03-22,javascript,Only SecDef,0
2019-03-22,javascript,Undef Sec (OAS),0
2019-03-22,go,Both,0
2019-03-22,go,Only SecSchemes,0
2019-03-22,go,Only SecDef,0
2019-03-22,go,Undef Sec (OAS),0
2019-03-22,python,Both,0
2019-03-22,python,Only SecSchemes,0
2019-03-22,python,Only SecDef,0
2019-03-22,python,Undef Sec (OAS),0
2019-03-22,java,Both,0
2019-03-22,java,Only SecSchemes,0
2019-03-22,java,Only SecDef,0
2019-03-22,java,Undef Sec (OAS),0
2019-03-22,ruby,Both,0
2019-03-22,ruby,Only SecSchemes,0
2019-03-22,ruby,Only SecDef,0
2019-03-22,ruby,Undef Sec (OAS),0
2019-03-23,javascript,Both,0
2019-03-23,javascript,Only SecSchemes,0
2019-03-23,javascript,Only SecDef,0
2019-03-23,javascript,Undef Sec (OAS),0
2019-03-23,go,Both,0
2019-03-23,go,Only SecSchemes,0
2019-03-23,go,Only SecDef,0
2019-03-23,go,Undef Sec (OAS),0
2019-03-23,python,Both,0
2019-03-23,python,Only SecSchemes,0
2019-03-23,python,Only SecDef,0
2019-03-23,python,Undef Sec (OAS),0
2019-03-23,java,Both,0
2019-03-23,java,Only SecSchemes,0
2019-03-23,java,Only SecDef,0
2019-03-23,java,Undef Sec (OAS),0
2019-03-23,ruby,Both,0
2019-03-23,ruby,Only SecSchemes,0
2019-03-23,ruby,Only SecDef,0
2019-03-23,ruby,Undef Sec (OAS),0
2019-03-26,javascript,Both,0
2019-03-26,javascript,Only SecSchemes,0
2019-03-26,javascript,Only SecDef,0
2019-03-26,javascript,Undef Sec (OAS),0
2019-03-26,go,Both,0
2019-03-26,go,Only SecSchemes,0
2019-03-26,go,Only SecDef,360
2019-03-26,go,Undef Sec (OAS),0
2019-03-26,python,Both,0
2019-03-26,python,Only SecSchemes,0
2019-03-26,python,Only SecDef,0
2019-03-26,python,Undef Sec (OAS),0
2019-03-26,java,Both,0
2019-03-26,java,Only SecSchemes,0
2019-03-26,java,Only SecDef,0
2019-03-26,java,Undef Sec (OAS),0
2019-03-26,ruby,Both,0
2019-03-26,ruby,Only SecSchemes,0
2019-03-26,ruby,Only SecDef,0
2019-03-26,ruby,Undef Sec (OAS),0
2019-03-27,javascript,Both,0
2019-03-27,javascript,Only SecSchemes,0
2019-03-27,javascript,Only SecDef,0
2019-03-27,javascript,Undef Sec (OAS),0
2019-03-27,go,Both,0
2019-03-27,go,Only SecSchemes,0
2019-03-27,go,Only SecDef,0
2019-03-27,go,Undef Sec (OAS),0
2019-03-27,python,Both,0
2019-03-27,python,Only SecSchemes,0
2019-03-27,python,Only SecDef,0
2019-03-27,python,Undef Sec (OAS),0
2019-03-27,java,Both,0
2019-03-27,java,Only SecSchemes,0
2019-03-27,java,Only SecDef,0
2019-03-27,java,Undef Sec (OAS),0
2019-03-27,ruby,Both,0
2019-03-27,ruby,Only SecSchemes,0
2019-03-27,ruby,Only SecDef,0
2019-03-27,ruby,Undef Sec (OAS),0
2019-03-28,javascript,Both,0
2019-03-28,javascript,Only SecSchemes,0
2019-03-28,javascript,Only SecDef,0
2019-03-28,javascript,Undef Sec (OAS),0
2019-03-28,go,Both,0
2019-03-28,go,Only SecSchemes,0
2019-03-28,go,Only SecDef,360
2019-03-28,go,Undef Sec (OAS),0
2019-03-28,python,Both,0
2019-03-28,python,Only SecSchemes,0
2019-03-28,python,Only SecDef,0
2019-03-28,python,Undef Sec (OAS),0
2019-03-28,java,Both,0
2019-03-28,java,Only SecSchemes,0
2019-03-28,java,Only SecDef,0
2019-03-28,java,Undef Sec (OAS),0
2019-03-28,ruby,Both,0
2019-03-28,ruby,Only SecSchemes,0
2019-03-28,ruby,Only SecDef,0
2019-03-28,ruby,Undef Sec (OAS),0
2019-03-29,javascript,Both,0
2019-03-29,javascript,Only SecSchemes,0
2019-03-29,javascript,Only SecDef,0
2019-03-29,javascript,Undef Sec (OAS),0
2019-03-29,go,Both,0
2019-03-29,go,Only SecSchemes,0
2019-03-29,go,Only SecDef,356
2019-03-29,go,Undef Sec (OAS),0
2019-03-29,python,Both,0
2019-03-29,python,Only SecSchemes,0
2019-03-29,python,Only SecDef,0
2019-03-29,python,Undef Sec (OAS),0
2019-03-29,java,Both,0
2019-03-29,java,Only SecSchemes,0
2019-03-29,java,Only SecDef,0
2019-03-29,java,Undef Sec (OAS),0
2019-03-29,ruby,Both,0
2019-03-29,ruby,Only SecSchemes,0
2019-03-29,ruby,Only SecDef,0
2019-03-29,ruby,Undef Sec (OAS),0
2019-04-01,javascript,Both,0
2019-04-01,javascript,Only SecSchemes,0
2019-04-01,javascript,Only SecDef,0
2019-04-01,javascript,Undef Sec (OAS),0
2019-04-01,go,Both,0
2019-04-01,go,Only SecSchemes,0
2019-04-01,go,Only SecDef,89
2019-04-01,go,Undef Sec (OAS),0
2019-04-01,python,Both,0
2019-04-01,python,Only SecSchemes,12
2019-04-01,python,Only SecDef,0
2019-04-01,python,Undef Sec (OAS),0
2019-04-01,java,Both,0
2019-04-01,java,Only SecSchemes,0
2019-04-01,java,Only SecDef,0
2019-04-01,java,Undef Sec (OAS),0
2019-04-01,ruby,Both,0
2019-04-01,ruby,Only SecSchemes,0
2019-04-01,ruby,Only SecDef,0
2019-04-01,ruby,Undef Sec (OAS),0
2019-04-02,javascript,Both,0
2019-04-02,javascript,Only SecSchemes,0
2019-04-02,javascript,Only SecDef,0
2019-04-02,javascript,Undef Sec (OAS),0
2019-04-02,go,Both,0
2019-04-02,go,Only SecSchemes,0
2019-04-02,go,Only SecDef,89
2019-04-02,go,Undef Sec (OAS),0
2019-04-02,python,Both,0
2019-04-02,python,Only SecSchemes,12
2019-04-02,python,Only SecDef,0
2019-04-02,python,Undef Sec (OAS),0
2019-04-02,java,Both,0
2019-04-02,java,Only SecSchemes,0
2019-04-02,java,Only SecDef,0
2019-04-02,java,Undef Sec (OAS),0
2019-04-02,ruby,Both,0
2019-04-02,ruby,Only SecSchemes,0
2019-04-02,ruby,Only SecDef,0
2019-04-02,ruby,Undef Sec (OAS),0
2019-04-03,javascript,Both,0
2019-04-03,javascript,Only SecSchemes,0
2019-04-03,javascript,Only SecDef,0
2019-04-03,javascript,Undef Sec (OAS),0
2019-04-03,go,Both,0
2019-04-03,go,Only SecSchemes,0
2019-04-03,go,Only SecDef,346
2019-04-03,go,Undef Sec (OAS),0
2019-04-03,python,Both,0
2019-04-03,python,Only SecSchemes,0
2019-04-03,python,Only SecDef,0
2019-04-03,python,Undef Sec (OAS),0
2019-04-03,java,Both,0
2019-04-03,java,Only SecSchemes,0
2019-04-03,java,Only SecDef,0
2019-04-03,java,Undef Sec (OAS),0
2019-04-03,ruby,Both,0
2019-04-03,ruby,Only SecSchemes,0
2019-04-03,ruby,Only SecDef,0
2019-04-03,ruby,Undef Sec (OAS),0
2019-04-06,javascript,Both,0
2019-04-06,javascript,Only SecSchemes,0
2019-04-06,javascript,Only SecDef,0
2019-04-06,javascript,Undef Sec (OAS),0
2019-04-06,go,Both,0
2019-04-06,go,Only SecSchemes,0
2019-04-06,go,Only SecDef,0
2019-04-06,go,Undef Sec (OAS),0
2019-04-06,python,Both,0
2019-04-06,python,Only SecSchemes,0
2019-04-06,python,Only SecDef,0
2019-04-06,python,Undef Sec (OAS),0
2019-04-06,java,Both,0
2019-04-06,java,Only SecSchemes,0
2019-04-06,java,Only SecDef,0
2019-04-06,java,Undef Sec (OAS),0
2019-04-06,ruby,Both,0
2019-04-06,ruby,Only SecSchemes,0
2019-04-06,ruby,Only SecDef,0
2019-04-06,ruby,Undef Sec (OAS),0
2019-04-07,javascript,Both,0
2019-04-07,javascript,Only SecSchemes,0
2019-04-07,javascript,Only SecDef,0
2019-04-07,javascript,Undef Sec (OAS),0
2019-04-07,go,Both,0
2019-04-07,go,Only SecSchemes,0
2019-04-07,go,Only SecDef,0
2019-04-07,go,Undef Sec (OAS),0
2019-04-07,python,Both,0
2019-04-07,python,Only SecSchemes,0
2019-04-07,python,Only SecDef,0
2019-04-07,python,Undef Sec (OAS),2
2019-04-07,java,Both,0
2019-04-07,java,Only SecSchemes,0
2019-04-07,java,Only SecDef,0
2019-04-07,java,Undef Sec (OAS),0
2019-04-07,ruby,Both,0
2019-04-07,ruby,Only SecSchemes,0
2019-04-07,ruby,Only SecDef,0
2019-04-07,ruby,Undef Sec (OAS),0
2019-04-09,javascript,Both,0
2019-04-09,javascript,Only SecSchemes,0
2019-04-09,javascript,Only SecDef,0
2019-04-09,javascript,Undef Sec (OAS),0
2019-04-09,go,Both,0
2019-04-09,go,Only SecSchemes,0
2019-04-09,go,Only SecDef,0
2019-04-09,go,Undef Sec (OAS),0
2019-04-09,python,Both,0
2019-04-09,python,Only SecSchemes,3
2019-04-09,python,Only SecDef,0
2019-04-09,python,Undef Sec (OAS),2
2019-04-09,java,Both,0
2019-04-09,java,Only SecSchemes,0
2019-04-09,java,Only SecDef,0
2019-04-09,java,Undef Sec (OAS),0
2019-04-09,ruby,Both,0
2019-04-09,ruby,Only SecSchemes,0
2019-04-09,ruby,Only SecDef,0
2019-04-09,ruby,Undef Sec (OAS),0
2019-04-10,javascript,Both,0
2019-04-10,javascript,Only SecSchemes,0
2019-04-10,javascript,Only SecDef,0
2019-04-10,javascript,Undef Sec (OAS),0
2019-04-10,go,Both,0
2019-04-10,go,Only SecSchemes,0
2019-04-10,go,Only SecDef,0
2019-04-10,go,Undef Sec (OAS),0
2019-04-10,python,Both,0
2019-04-10,python,Only SecSchemes,3
2019-04-10,python,Only SecDef,0
2019-04-10,python,Undef Sec (OAS),4
2019-04-10,java,Both,0
2019-04-10,java,Only SecSchemes,0
2019-04-10,java,Only SecDef,0
2019-04-10,java,Undef Sec (OAS),0
2019-04-10,ruby,Both,0
2019-04-10,ruby,Only SecSchemes,0
2019-04-10,ruby,Only SecDef,0
2019-04-10,ruby,Undef Sec (OAS),0
2019-04-11,javascript,Both,0
2019-04-11,javascript,Only SecSchemes,0
2019-04-11,javascript,Only SecDef,0
2019-04-11,javascript,Undef Sec (OAS),0
2019-04-11,go,Both,0
2019-04-11,go,Only SecSchemes,0
2019-04-11,go,Only SecDef,0
2019-04-11,go,Undef Sec (OAS),0
2019-04-11,python,Both,0
2019-04-11,python,Only SecSchemes,60
2019-04-11,python,Only SecDef,0
2019-04-11,python,Undef Sec (OAS),16
2019-04-11,java,Both,0
2019-04-11,java,Only SecSchemes,0
2019-04-11,java,Only SecDef,0
2019-04-11,java,Undef Sec (OAS),0
2019-04-11,ruby,Both,0
2019-04-11,ruby,Only SecSchemes,0
2019-04-11,ruby,Only SecDef,0
2019-04-11,ruby,Undef Sec (OAS),0
2019-04-12,javascript,Both,0
2019-04-12,javascript,Only SecSchemes,0
2019-04-12,javascript,Only SecDef,0
2019-04-12,javascript,Undef Sec (OAS),0
2019-04-12,go,Both,0
2019-04-12,go,Only SecSchemes,0
2019-04-12,go,Only SecDef,356
2019-04-12,go,Undef Sec (OAS),0
