commit_date,language,classification,dep_count
2016-05-15 00:00:00+00:00,javascript,Both,0
2016-05-15 00:00:00+00:00,javascript,Only SecSchemes,0
2016-05-15 00:00:00+00:00,javascript,Only SecDef,0
2016-05-15 00:00:00+00:00,javascript,Undef Sec (OAS),0
2016-05-15 00:00:00+00:00,go,Both,0
2016-05-15 00:00:00+00:00,go,Only SecSchemes,0
2016-05-15 00:00:00+00:00,go,Only SecDef,0
2016-05-15 00:00:00+00:00,go,Undef Sec (OAS),0
2016-05-15 00:00:00+00:00,python,Both,0
2016-05-15 00:00:00+00:00,python,Only SecSchemes,0
2016-05-15 00:00:00+00:00,python,Only SecDef,0
2016-05-15 00:00:00+00:00,python,Undef Sec (OAS),0
2016-05-15 00:00:00+00:00,java,Both,0
2016-05-15 00:00:00+00:00,java,Only SecSchemes,0
2016-05-15 00:00:00+00:00,java,Only SecDef,0
2016-05-15 00:00:00+00:00,java,Undef Sec (OAS),0
2016-05-15 00:00:00+00:00,ruby,Both,0
2016-05-15 00:00:00+00:00,ruby,Only SecSchemes,0
2016-05-15 00:00:00+00:00,ruby,Only SecDef,4944
2016-05-15 00:00:00+00:00,ruby,Undef Sec (OAS),0
2016-05-16 00:00:00+00:00,javascript,Both,0
2016-05-16 00:00:00+00:00,javascript,Only SecSchemes,0
2016-05-16 00:00:00+00:00,javascript,Only SecDef,0
2016-05-16 00:00:00+00:00,javascript,Undef Sec (OAS),0
2016-05-16 00:00:00+00:00,go,Both,0
2016-05-16 00:00:00+00:00,go,Only SecSchemes,0
2016-05-16 00:00:00+00:00,go,Only SecDef,0
2016-05-16 00:00:00+00:00,go,Undef Sec (OAS),0
2016-05-16 00:00:00+00:00,python,Both,0
2016-05-16 00:00:00+00:00,python,Only SecSchemes,0
2016-05-16 00:00:00+00:00,python,Only SecDef,0
2016-05-16 00:00:00+00:00,python,Undef Sec (OAS),0
2016-05-16 00:00:00+00:00,java,Both,0
2016-05-16 00:00:00+00:00,java,Only SecSchemes,0
2016-05-16 00:00:00+00:00,java,Only SecDef,0
2016-05-16 00:00:00+00:00,java,Undef Sec (OAS),0
2016-05-16 00:00:00+00:00,ruby,Both,0
2016-05-16 00:00:00+00:00,ruby,Only SecSchemes,0
2016-05-16 00:00:00+00:00,ruby,Only SecDef,85968
2016-05-16 00:00:00+00:00,ruby,Undef Sec (OAS),0
2016-05-17 00:00:00+00:00,javascript,Both,0
2016-05-17 00:00:00+00:00,javascript,Only SecSchemes,0
2016-05-17 00:00:00+00:00,javascript,Only SecDef,0
2016-05-17 00:00:00+00:00,javascript,Undef Sec (OAS),0
2016-05-17 00:00:00+00:00,go,Both,0
2016-05-17 00:00:00+00:00,go,Only SecSchemes,0
2016-05-17 00:00:00+00:00,go,Only SecDef,0
2016-05-17 00:00:00+00:00,go,Undef Sec (OAS),0
2016-05-17 00:00:00+00:00,python,Both,0
2016-05-17 00:00:00+00:00,python,Only SecSchemes,0
2016-05-17 00:00:00+00:00,python,Only SecDef,0
2016-05-17 00:00:00+00:00,python,Undef Sec (OAS),0
2016-05-17 00:00:00+00:00,java,Both,0
2016-05-17 00:00:00+00:00,java,Only SecSchemes,0
2016-05-17 00:00:00+00:00,java,Only SecDef,0
2016-05-17 00:00:00+00:00,java,Undef Sec (OAS),0
2016-05-17 00:00:00+00:00,ruby,Both,0
2016-05-17 00:00:00+00:00,ruby,Only SecSchemes,0
2016-05-17 00:00:00+00:00,ruby,Only SecDef,9558
2016-05-17 00:00:00+00:00,ruby,Undef Sec (OAS),0
2016-05-26 00:00:00+00:00,javascript,Both,0
2016-05-26 00:00:00+00:00,javascript,Only SecSchemes,0
2016-05-26 00:00:00+00:00,javascript,Only SecDef,0
2016-05-26 00:00:00+00:00,javascript,Undef Sec (OAS),0
2016-05-26 00:00:00+00:00,go,Both,0
2016-05-26 00:00:00+00:00,go,Only SecSchemes,0
2016-05-26 00:00:00+00:00,go,Only SecDef,0
2016-05-26 00:00:00+00:00,go,Undef Sec (OAS),0
2016-05-26 00:00:00+00:00,python,Both,0
2016-05-26 00:00:00+00:00,python,Only SecSchemes,0
2016-05-26 00:00:00+00:00,python,Only SecDef,0
2016-05-26 00:00:00+00:00,python,Undef Sec (OAS),0
2016-05-26 00:00:00+00:00,java,Both,0
2016-05-26 00:00:00+00:00,java,Only SecSchemes,0
2016-05-26 00:00:00+00:00,java,Only SecDef,0
